Darija (Arabic),Darija (Arabizi),Arabic Standard,English
كلب,kelb,كلب,dog
كلب,klb,كلب,dog
كلب,kalb,كلب,dog
كلب,kalbe,كلب,dog
كلب,kelbe,كلب,dog
كلب,klbe,كلب,dog
مش,mch,قط,cat
مش,moch,قط,cat
مش,mech,قط,cat
مش,mche,قط,cat
مش,moche,قط,cat
مش,meche,قط,cat
حمار,hmar,حمار,donkey
حمار,7mar,حمار,donkey
حمار,himar,حمار,donkey
زرافة,zarafa,زرافة,giraffe
سبع,sb3,اسد,lion
سبع,sbe3,اسد,lion
سبع,sbaa,اسد,lion
سبع,sba3,اسد,lion
فروج,frouj,ديك,cock
فروج,farrouj,ديك,cock
فروج,farouj,ديك,cock
سردوك,sardouk,ديك,cock
سردوك,serdouk,ديك,cock
جاجة,djaja,دجاجة,chicken
غزالة,ghzala,غزالة,gazelle
غزال,rzala,غزالة,gazelle
نمر,nmr,نمر,tiger
نمر,nmer,نمر,tiger
نمر,nmar,نمر,tiger
ضبع,Db3,ضبع,hyena
ضبع,Dbe3,ضبع,hyena
ضبع,Dbaa,ضبع,hyena
ضبع,Dba3,ضبع,hyena
حوت,7out,حوت,fish
حوت,hout,حوت,fish
حوت,houte,حوت,fish
نملة,nmla,نملة,ant
نملة,nemla,نملة,ant
فكرون,fkroun,سلحفاة,turtle
فكرون,fekroun,سلحفاة,turtle
فكرون,fakroun,سلحفاة,turtle
بربوش,brbouch,حلزون,snail
بربوش,beboch,حلزون,snail
بربوش,babbouch,حلزون,snail
بربوش,berbouch,حلزون,snail
بغل,bghl,بغل,mule
بغل,bghel,بغل,mule
بغل,bghal,بغل,mule
عاود,3awd,حصان,horse
عاود,aawd,حصان,horse
عاود,3aoud,حصان,horse
خروف,khrouf,خروف,sheep
خروف,5rouf,خروف,sheep
خروف,5rof,خروف,sheep
خروف,khrof,خروف,sheep
حاولي,7awli,خروف,sheep
حاولي,hawli,خروف,sheep
حاولي,hewli,خروف,sheep
حاولي,7ouli,خروف,sheep
نعجة,n3ja,نعجة,sheep
نعجة,ne3ja,نعجة,sheep
نعجة,na3ja,نعجة,sheep
معزة,m3za,معزة,goat
معزة,ma3za,معزة,goat
معزة,me3za,معزة,goat
معزة,maaza,معزة,goat
تمساح,timsa7,تمساح,crocodile
تمساح,timsah,تمساح,crocodile
فيل,fil,فيل,elephant
فيل,fyl,فيل,elephant
عجل,3jl,عجل,calf
عجل,3jel,عجل,calf
عجل,3jal,عجل,calf
عجل,aajel,عجل,calf
ديب,dib,ذئب,wolf
ديب,dyb,ذئب,wolf
ذيب,dhyb,ذئب,wolf
ذيب,dhib,ذئب,wolf
حلّوف,7llouf,خنزير,pig
حلّوف,7allouf,خنزير,pig
حلّوف,hallouf,خنزير,pig
حلّوف,hellouf,خنزير,pig
قرد,9rd,قرد,monkey
قرد,9ard,قرد,monkey
قرد,qard,قرد,monkey
قرد,9erd,قرد,monkey
شادي,chadi,قرد,monkey
شادي,shadi,قرد,monkey
طومبا,tomba,جرذ,rat
طوبّا,Tobba,جرذ,rat
طوبّا,toba,جرذ,rat
جمل,jml,جمل,camel
جمل,jmal,جمل,camel
جمل,jmel,جمل,camel
دلفين,dlfin,دلفين,dolphin
دلفين,delfin,دلفين,dolphin
دلفين,dalfine,دلفين,dolphin
دلفين,doulfine,دلفين,dolphin
موكا,moka,بومة,owl
موكا,mouka,بومة,owl
بومة,bouma,بومة,owl
ثعلب,tha3lb,ثعلب,owl
ثعلب,tha3leb,ثعلب,owl
ثعلب,tha3lab,ثعلب,owl
تعلب,t3lb,ثعلب,fox
تعلب,the3leb,ثعلب,fox
تعلب,ta3lab,ثعلب,fox
تعلب,te3leb,ثعلب,fox
بڭرة,bgra,بقرة,cow
بڭرة,bagra,بقرة,cow
بڭرة,begra,بقرة,cow
بڭرة,begra,بقرة,cow
بڭرة,begra,بقرة,cow
بڭرة,begra,بقرة,cow
دبّ,dobb,دبّ,bear
دبّ,dob,دبّ,bear
قنيونة,9niwna,قنيونة,rabbit
قنيونة,9nia,قنيونة,rabbit
قنيونة,qnia,قنيونة,rabbit
طويير,Twiyer,طائر,bird
طويير,Twyer,طائر,bird
طويير,Ter,طائر,bird
طويير,Tir,طائر,bird
تيقليت,ti9lit,سحلية,lizard
تيقليت,ti9lita,سحلية,lizard
تيقليت,tiqlit,سحلية,lizard
بوبريقة,boubriqa,سحلية,lizard
بوبريقة,boubrika,سحلية,lizard
ببغاء,babbagha,ببغاء,parrot
ببغاء,babbaghio,ببغاء,parrot
ببغاء,babaghyo,ببغاء,parrot
ببغاء,babbagha2,ببغاء,parrot
فار,far,فأر,mouse
بطّة,btta,بطّة,duck
بطّة,baTTa,بطّة,duck
بطّة,beTTa,بطّة,duck
كروڤيت,crevit,جمبري,shrimps
بيبي,bibi,ديك رومي,turkey
نحلة,n7la,نحلة,bee
نحلة,na7la,نحلة,bee
نحلة,ne7la,نحلة,bee
غراب,ghrab,غراب,crow
غراب,ghorab,غراب,crow
حمامة,7mama,حمامة,pigeon
حمامة,hmama,حمامة,pigeon
بلّارج,bllarj,لقلق,stork
بلّارج,bellarj,لقلق,stork
بلّارج,belarj,لقلق,stork
نعامة,n3ama,نعامة,ostrich
نعامة,naama,نعامة,ostrich
ڭنفود,gnfoud,قنفذ,hedgehog
ڭنفود,ganfoud,قنفذ,hedgehog
خفّاش,khffach,خفّاش,bat
خفّاش,khoffach,خفّاش,bat
خفّاش,5ofach,خفّاش,bat
خفّاش,5offach,خفّاش,bat
جرانة,jrana,ضفدع,frog
سنجاب,sinjab,سنجاب,squirrel
حنش,7nch,حنش,snake
حنش,7nech,حنش,snake
حنش,7nach,حنش,snake
حنش,hnech,حنش,snake
حنش,7nch,حنش,snake
حنش,7ench,حنش,snake
حنش,7anch,حنش,snake
حنش,hench,حنش,snake
أُخطبوط,okhToboT,أُخطبوط,octopus
قرش,9irch,قرش,shark
قرش,qirch,قرش,shark
نسر,nsr,نسر,eagle
نسر,nser,نسر,eagle
بطريق,biTri9,بطريق,penguin
بطريق,biTriq,بطريق,penguin
فراشة,faracha,فراشة,butterfly
رتيلة,rtila,عنكبوت,spider
عڭربة,3grba,عقرب,scorpion
عڭربة,aagrba,عقرب,scorpion
عڭربة,3garba,عقرب,scorpion
ناموسة,namousa,ناموسة,mosquito
ناموسة,namosa,ناموسة,mosquito
دبّانة,dbbana,ذبابة,fly
دبّانة,debana,ذبابة,fly
دبّانة,dbana,ذبابة,fly
دبّان,dbban,ذباب,flies
دبّان,deban,ذباب,flies
دبّان,dban,ذباب,flies
جرادة,jrada,جرادة,grasshopper
جراد,jrad,جراد,grasshoppers
دودة,douda,دودة,worm
دود,doud,دود,worms
حيوان,7ayawan,حيوان,animal
حيوان,hayawan,حيوان,animal
حشرة,7achara,حشرة,insect
حشرة,hachara,حشرة,insect
حشرات,7acharat,حشرات,insects
حشرات,hacharat,حشرات,insects
حيوانات,7ayawanat,حيوانات,animals
حيوانات,hayawanat,حيوانات,animals
عصفور,3oSfor,عصفور,bird
تور,tour,ثور,bull
تور,thour,ثور,bull
تور,thor,ثور,bull
تور,tor,ثور,bull
سمكة,samaka,سمكة,fish
دايناصور,daynaSour,ديناصور,dinosaur
دايناصور,daynaSor,ديناصور,dinosaur
بوبريص,bobris,سحلية,lizard
بوبريص,boubris,سحلية,lizard
بوبريص,bobriss,سحلية,lizard
بوبريص,boubriss,سحلية,lizard
قندس,9ondos,قندس,beaver
بهيمة,b8ima,ماشية,cattle
بهيمة,bhima,ماشية,cattle
وزّة,wzza,وزّة,goose
وزّة,wezza,وزّة,goose
طاوس,Taws,طاوس,peafowl
طاوس,Taawous,طاوس,peafowl
طاوس,Tawous,طاوس,peafowl
سردين,srdin,سردين,sardine
سمطة,smTa,ثعبان البحر,eel
سمطة,semTa,ثعبان البحر,eel
سمطة,samTa,ثعبان البحر,eel
فقمة,fo9ma,فقمة,seal
فقمة,foqma,فقمة,seal
سرّاق زّيت,srra9zzit,صرصور,cockroach
سرّاق زّيت,srra9 zzit,صرصور,cockroach
سرّاق زّيت,srra9 zit,صرصور,cockroach
بوجعران,boj3ran,صرصور,cockroach
بوجعران,bouj3ran,صرصور,cockroach
ڭمل,gml,قمل,louses
ڭمل,gmel,قمل,louses
ڭمل,gmal,قمل,louses
منقار,mn9ar,منقار,beak
منقار,man9ar,منقار,beak
منقار,men9ar,منقار,beak
منقار,manqar,منقار,beak
جناح,jna7,جناح,wing
جناح,jnah,جناح,wing
ريشة,richa,ريشة,feather
ريشة,rycha,ريشة,feather
غول,ghoul,وحش,beast
غول,ghol,وحش,beast
فرس النهر,faras nna8r,فرس النهر,hippopotamus
فرس النهر,faras nnahr,فرس النهر,hippopotamus
وحيد لقرن,wa7id l9arn,وحيد لقرن,rhinoceros
وحيد لقرن,wahid l9arn,وحيد لقرن,rhinoceros
وحيد لقرن,wahid lqarn,وحيد لقرن,rhinoceros
حمار وحشي,7imar wa7chi,حمار وحشي,zebra
حمار وحشي,7imar w7chi,حمار وحشي,zebra
غزالة,ghzala,غزالة,deer
فهد,fa8d,فهد,leopard
فهد,fahd,فهد,leopard
فهد,fehd,فهد,leopard
فرّوج,ferrouj,فرّوج,cock
فرّوج,frroj,فرّوج,cock
فرّوج,farouj,فرّوج,cock
هدهد,8od8od,هدهد,hoopoe
هدهد,hodhod,هدهد,hoopoe
هامستر,hamster,هامستر,hamster
هامستر,8amster,هامستر,hamster
پاندا,panda,پاندا,panda
پاندا,ppanda,پاندا,panda
اللاما,llama,اللاما,llama
كوالا,koala,كوالا,koala
كوالا,kwala,كوالا,koala
كوالا,kowala,كوالا,koala
